voltage,factor_0.5_total,factor_0.5_peroxide,factor_0.75_total,factor_0.75_peroxide,factor_1.0_total,factor_1.0_peroxide,factor_1.5_total,factor_1.5_peroxide,factor_2.0_total,factor_2.0_peroxide
5.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.0,-0.00032818913523256196,-0.00032818913523256196,-0.00032818913523254294,-0.00032818913523254294,-0.0003281891352325227,-0.0003281891352325227,-0.0003281891352324782,-0.0003281891352324782,-0.00032818913523242785,-0.00032818913523242785
-0.5,0.0006938296019831731,0.0006938296019831731,0.0006938383040031162,0.0006938383040031162,0.0006938475670028616,0.0006938475670028616,0.0006938679228546576,0.0006938679228546576,0.000693890987538633,0.000693890987538633
-1.0,0.005137982794443275,0.005137982794443275,0.005138535427912755,0.005138535427912755,0.005139161398939574,0.005139161398939574,0.005140673407021126,0.005140673407021126,0.00514261264190484,0.00514261264190484
-2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-3.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-4.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-5.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-6.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-8.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-10.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-13.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-17.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-22.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-28.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-35.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-41.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-46.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-50.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-55.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-60.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
